original;translate;base_2;general_thema_en;general_thema_ru;main_thema_en;main_thema_ru;special_thema_en;special_thema_ru;part_of_speech;stage;lesson;text_type
가져오다;Брать с собой / Приносить;가져오;action;действие;;;;;verb;1;;words
만나다;Встречать;만나;action;действие;;;;;verb;1;;words
쬐다;Греться под солнцем;쬐;action;действие;;;;;verb;1;;words
산책하다;Гулять;산책하;action;действие;;;;;verb;1;;words
질문하세요;Задавайте вопросы;질문하세요;action;действие;;;;;verb;1;;words
운동하다;Заниматься спортом;운동하;action;действие;;;;;verb;1;;words
전화하다;Звонить по телефону;전화하;action;действие;;;;;verb;1;;words
쓰세요;Напишите;쓰세요;action;действие;;;;;verb;1;;words
대답하세요;Ответьте на вопросы;대답하세요;action;действие;;;;;verb;1;;words
떼다;Отрывать / Отлеплять;떼;action;действие;;;;;verb;1;;words
쉬다;Отдыхать;쉬;action;действие;;;;;verb;1;;words
마시다;Пить;마시;action;действие;;;;;verb;1;;words
따라 하세요;Повторите;따라 하세요;action;действие;;;;;verb;1;;words
사다;Покупать;사;action;действие;;;;;verb;1;;words
읽으세요;Прочитайте;읽으세요;action;действие;;;;;verb;1;;words
일하다;Работать;일하;action;действие;;;;;verb;1;;words
깨다;Разбивать;깨;action;действие;;;;;verb;1;;words
이야기하다;Разговаривать;이야기하;action;действие;;;;;verb;1;;words
잘 들으세요;Слушайте внимательно;잘 들으세요;action;действие;;;;;verb;1;;words
듣다;Слушать;듣;action;действие;;;;;verb;1;;words
보다;Смотреть;보;action;действие;;;;;verb;1;;words
자다;Спать;자;action;действие;;;;;verb;1;;words
공부하다;Учиться;공부하;action;действие;;;;;verb;1;;words
읽다;Читать;읽;action;действие;;;;;verb;1;;words
아프다;Болеть;아프;action;действие;;;;;verb;1;;words
침대;Кровать;침대;furniture;мебель;;;;;noun;1;;words
베개;Подушка;베개;furniture;мебель;;;;;noun;1;;words
책상;Стол;책상;furniture;мебель;;;;;noun;1;;words
의자;Стул;의자;furniture;мебель;;;;;noun;1;;words
교실;Аудитория, Класс;교실;place;место;;;;;noun;1;;words
도서관;Библиотека;도서관;place;место;;;;;noun;1;;words
병원;Больница;병원;place;место;;;;;noun;1;;words
근처;В окрестностях;근처;place;место;;;;;noun;1;4;words
집;Дом;집;place;место;;;;;noun;1;;words
노래방;Караоке;노래방;place;место;;;;;noun;1;;words
카페;Кафе;카페;place;место;;;;;noun;1;;words
영화관;Кинотеатр;영화관;place;место;;;;;noun;1;;words
방;Комната;방;place;место;;;;;noun;1;;words
가게;Магазин;가게;place;место;;;;;noun;1;;words
고향;Родина, родной город;고향;place;место;;;;;noun;1;;words
백화점;Универмаг;백화점;place;место;;;;;noun;1;;words
시내;Центр города;시내;place;место;;;;;noun;1;;words
층;Этаж;층;place;место;;;;;noun;1;;words
강의실;Аудитория, Лекционный зал;강의실;place;место;;;;;noun;1;;words
바지;Брюки;바지;clothes;одежда;;;;;noun;1;;words
모자;Кепка / шапка;모자;clothes;одежда;;;;;noun;1;;words
옷;Одежда;옷;clothes;одежда;;;;;noun;1;;words
두꺼운 옷;Теплая одежда;두꺼운 옷;clothes;одежда;;;;;noun;1;;words
구두;Туфли;구두;clothes;одежда;;;;;noun;1;;words
수첩;Ежедневник;수첩;items;предметы;;;;;noun;1;;words
책;Книга;책;items;предметы;;;;;noun;1;;words
펜;Ручка;펜;items;предметы;;;;;noun;1;;words
가방;Сумка;가방;items;предметы;;;;;noun;1;;words
텔레빋전;Телевизор;텔레빋전;items;предметы;;;;;noun;1;;words
그림;Рисунок, картина;그림;items;предметы;;;;;noun;1;;words
컴퓨터;Компьютер;컴퓨터;items;предметы;;;;;noun;1;;words
신문;Газета;신문;items;предметы;;;;;noun;1;;words
연필;Карандаш;연필;items;предметы;;;;;noun;1;;words
지우개;Ластик;지우개;items;предметы;;;;;noun;1;;words
오렌지;Апельсин;오렌지;products;продукты;;;;;noun;1;;words
수박;Арбуз;수박;products;продукты;;;;;noun;1;;words
포도;Виноград;포도;products;продукты;;;;;noun;1;;words
물;Вода;물;products;продукты;;;;;noun;1;;words
밥;Еда (Рис готовый);밥;products;продукты;;;;;noun;1;;words
불고기;Жареное мясо;불고기;products;продукты;;;;;noun;1;;words
우유;Молоко;우유;products;продукты;;;;;noun;1;;words
야채;Овощи;야채;products;продукты;;;;;noun;1;;words
주스;Сок;주스;products;продукты;;;;;noun;1;;words
빵;Хлеб;빵;products;продукты;;;;;noun;1;;words
사과;Яблоко;사과;products;продукты;;;;;noun;1;;words
안;Внутри;안;location;расположение;;;;;adverb;1;;words
뒤;За;뒤;location;расположение;;;;;adverb;1;;words
위;На / Сверху;위;location;расположение;;;;;adverb;1;;words
앞;Перед;앞;location;расположение;;;;;adverb;1;;words
아래;Под;아래;location;расположение;;;;;adverb;1;;words
옆;Сбоку;옆;location;расположение;;;;;adverb;1;;words
밖;Снаружи;밖;location;расположение;;;;;adverb;1;;words
밑;Снизу;밑;location;расположение;;;;;adverb;1;;words
여기;Здесь;여기;another;другое;;;;;adverb;1;;words
어디;Где?;어디;another;другое;;;;;adverb;1;;words
그리거;Также / Кроме того;그리거;union;союзы;;;;;adverb;1;;words
그래서;По этому / потому что;그래서;union;союзы;;;;;adverb;1;;words
그러면;Тогда / В таком случае;그러면;union;союзы;;;;;adverb;1;;words
반갑다;Быть радостным;반갑;another;другое;;;;;verb;1;;words
제;Мой;;another;другое;;;;;adverb;2;;words
알겠어요?;Вам понятно?;알겠어요?;another;другое;;;;;verb;1;;words
같이;Вместе;같이;another;другое;;;;;adverb;1;;words
저분;Вон тот человек;저분;another;другое;;;;;;1;;words
모두;Все Итого;모두;another;другое;;;;;adverb;1;;words
눈;Глаз;눈;another;другое;;;;;noun;1;;words
주다;Дайте;주;another;другое;;;;;verb;1;;words
나무;Дерево;나무;another;другое;;;;;noun;1;;words
싸다;Дешевый;싸;another;другое;;;;;adjective;1;;words
친구;Друг;친구;another;другое;;;;;noun;1;;words
먹다;Есть;먹;another;другое;;;;;verb;1;;words
질문 있어요?;Есть у вас вопросы?;질문 있어요?;another;другое;;;;;noun;1;;talk
밤;Желудь;밤;another;другое;;;;;noun;1;;words
안녱하세요?;Здраствуйте;안녱하세요?;another;другое;;;;;verb;1;;words
미안니하다;Извините;미안니하;another;другое;;;;;verb;1;;words
죄송합니다;Извините привлечь внимание;죄송합니;another;другое;;;;;verb;1;;words
영화;Кино;영화;another;другое;;;;;noun;1;;words
중국어;Китайский язык;중국어;another;другое;;;;;noun;1;;words
배;Корабль;배;another;другое;;;;;noun;1;;words
한국어;Корейский язык;한국어;another;другое;;;;;noun;1;;words
달;Луна;달;another;другое;;;;;noun;1;;words
음악;Музыка;음악;another;другое;;;;;noun;1;;words
우리;Мы;우리;another;другое;;;;;noun;1;;words
코;Нос;코;another;другое;;;;;noun;1;;words
좋아하다;Нравится;좋아하;another;другое;;;;;verb;1;;words
책을 펴세요;Откройте книгу;책을 펴세요;another;другое;;;;;verb;1;;words
약속;Обещание;약속;another;другое;;;;;noun;1;;words
잭을 보세요;Посмотрите в книгу;잭을 보세요;another;другое;;;;;verb;1;;words
물건;Предметы;물건;another;другое;;;;;noun;1;;words
새다;Протекать;새;another;другое;;;;;verb;1;;words
로;При помощи чего;로;another;другое;;;;;;1;;words
몇;Сколько;몇;another;другое;;;;;pronoun;1;;words
얼마나;Сколько количество;얼마나;another;другое;;;;;pronoun;1;;words
얼마에요?;Сколько стоит;얼마에요?;another;другое;;;;;pronoun;1;;words
고맙습니다;Спасибо;고맙습니;another;другое;;;;;noun;1;;words
감사합니다;Спасибо;감사합니;another;другое;;;;;noun;1;;words
안녕히 계세요;Счастливо оставаться;안녕히 계세요;another;другое;;;;;adverb;1;;words
안녕히 가세요;Счастливого пути;안녕히 가세요;another;другое;;;;;adverb;1;;words
그분;Тот человек;그분;another;другое;;;;;adjective;1;;words
